date_key,full_date,day,month,quarter,year,weekday,month_name
20260101,2026-01-01,1,1,1,2026,Thursday,January
20260102,2026-01-02,2,1,1,2026,Friday,January
20260103,2026-01-03,3,1,1,2026,Saturday,January
20260104,2026-01-04,4,1,1,2026,Sunday,January
20260105,2026-01-05,5,1,1,2026,Monday,January
20260106,2026-01-06,6,1,1,2026,Tuesday,January
20260107,2026-01-07,7,1,1,2026,Wednesday,January
20260108,2026-01-08,8,1,1,2026,Thursday,January
20260109,2026-01-09,9,1,1,2026,Friday,January
20260110,2026-01-10,10,1,1,2026,Saturday,January
20260111,2026-01-11,11,1,1,2026,Sunday,January
20260112,2026-01-12,12,1,1,2026,Monday,January
20260113,2026-01-13,13,1,1,2026,Tuesday,January
20260114,2026-01-14,14,1,1,2026,Wednesday,January
20260115,2026-01-15,15,1,1,2026,Thursday,January
20260116,2026-01-16,16,1,1,2026,Friday,January
20260117,2026-01-17,17,1,1,2026,Saturday,January
20260118,2026-01-18,18,1,1,2026,Sunday,January
20260119,2026-01-19,19,1,1,2026,Monday,January
20260120,2026-01-20,20,1,1,2026,Tuesday,January
20260121,2026-01-21,21,1,1,2026,Wednesday,January
20260122,2026-01-22,22,1,1,2026,Thursday,January
20260123,2026-01-23,23,1,1,2026,Friday,January
20260124,2026-01-24,24,1,1,2026,Saturday,January
20260125,2026-01-25,25,1,1,2026,Sunday,January
20260126,2026-01-26,26,1,1,2026,Monday,January
20260127,2026-01-27,27,1,1,2026,Tuesday,January
20260128,2026-01-28,28,1,1,2026,Wednesday,January
20260129,2026-01-29,29,1,1,2026,Thursday,January
20260130,2026-01-30,30,1,1,2026,Friday,January
20260131,2026-01-31,31,1,1,2026,Saturday,January
20260201,2026-02-01,1,2,1,2026,Sunday,February
20260202,2026-02-02,2,2,1,2026,Monday,February
20260203,2026-02-03,3,2,1,2026,Tuesday,February
20260204,2026-02-04,4,2,1,2026,Wednesday,February
20260205,2026-02-05,5,2,1,2026,Thursday,February
20260206,2026-02-06,6,2,1,2026,Friday,February
20260207,2026-02-07,7,2,1,2026,Saturday,February
20260208,2026-02-08,8,2,1,2026,Sunday,February
20260209,2026-02-09,9,2,1,2026,Monday,February
20260210,2026-02-10,10,2,1,2026,Tuesday,February
20260211,2026-02-11,11,2,1,2026,Wednesday,February
20260212,2026-02-12,12,2,1,2026,Thursday,February
20260213,2026-02-13,13,2,1,2026,Friday,February
20260214,2026-02-14,14,2,1,2026,Saturday,February
20260215,2026-02-15,15,2,1,2026,Sunday,February
20260216,2026-02-16,16,2,1,2026,Monday,February
20260217,2026-02-17,17,2,1,2026,Tuesday,February
20260218,2026-02-18,18,2,1,2026,Wednesday,February
20260219,2026-02-19,19,2,1,2026,Thursday,February
20260220,2026-02-20,20,2,1,2026,Friday,February
20260221,2026-02-21,21,2,1,2026,Saturday,February
20260222,2026-02-22,22,2,1,2026,Sunday,February
20260223,2026-02-23,23,2,1,2026,Monday,February
20260224,2026-02-24,24,2,1,2026,Tuesday,February
20260225,2026-02-25,25,2,1,2026,Wednesday,February
