product_id,product_name,brand,category_id,category_name,price,stock_quantity,sold_quantity,is_active,created_at
1,Génifique Advanced Youth Activating Serum,LANCÔME,1,Chăm Sóc Da,1250000.0,139,102,1,2026-06-04 17:01:44
2,Facial Treatment Essence 230ml,SK-II,1,Chăm Sóc Da,2890000.0,166,82,1,2026-06-04 17:01:44
3,Advanced Night Repair Synchronized Recovery,ESTÉE LAUDER,1,Chăm Sóc Da,1890000.0,285,114,1,2026-06-04 17:01:44
4,Green Tea Hyaluronic Acid Hydration Toner,INNISFREE,1,Chăm Sóc Da,385000.0,34,107,1,2026-06-04 17:01:44
5,Revitalift 1.5% Pure Hyaluronic Acid Serum,L'ORÉAL,1,Chăm Sóc Da,480000.0,345,114,1,2026-06-04 17:01:44
6,Vital Perfection Uplifting Firming Cream,SHISEIDO,1,Chăm Sóc Da,1100000.0,4,83,1,2026-06-04 17:01:44
7,Ultra Facial Cream SPF 30 — 125ml,KIEHL'S,1,Chăm Sóc Da,890000.0,133,84,1,2026-06-04 17:01:44
8,Moisture Surge 100H Hydrator 75ml,CLINIQUE,1,Chăm Sóc Da,750000.0,0,102,1,2026-06-04 17:01:44
9,Sulwhasoo First Care Activating Serum,SULWHASOO,1,Chăm Sóc Da,1680000.0,117,78,1,2026-06-04 17:01:44
10,The Water Cream 50ml,TATCHA,1,Chăm Sóc Da,1450000.0,65,100,1,2026-06-04 17:01:44
11,Niacinamide 10% + Zinc 1% Serum 30ml,THE ORDINARY,1,Chăm Sóc Da,230000.0,89,83,1,2026-06-04 17:01:44
12,Lip Sleeping Mask Berry 20g,LANEIGE,1,Chăm Sóc Da,340000.0,178,94,1,2026-06-04 17:01:44
13,Cicaplast Baume B5+ 100ml,LA ROCHE-POSAY,1,Chăm Sóc Da,420000.0,97,120,1,2026-06-04 17:01:44
14,Hyaluronic Acid 2% + B5 Serum,THE ORDINARY,1,Chăm Sóc Da,180000.0,130,112,1,2026-06-04 17:01:44
15,Retinol 0.5% Serum 30ml,COSRX,1,Chăm Sóc Da,320000.0,215,105,1,2026-06-04 17:01:44
16,Vitamin C 23% Suspension,THE ORDINARY,1,Chăm Sóc Da,210000.0,72,44,1,2026-06-04 17:01:44
