refund_id,payment_id,order_id,date_key,refund_amount,refund_reason,refund_time
1,1000,1000,20260103,720000.0,Khách trả hàng,2026-01-03 12:58:39
2,1011,1011,20260108,2394000.0,Khách trả hàng,2026-01-08 23:29:56
3,1020,1020,20260107,2300000.0,Khách hủy đơn sau thanh toán,2026-01-07 09:54:30
4,1101,1101,20260121,1053000.0,Khách trả hàng,2026-01-21 13:14:42
5,1116,1116,20260124,7560000.0,Khách trả hàng,2026-01-24 00:03:25
6,1144,1144,20260126,2844000.0,Khách trả hàng,2026-01-26 17:19:03
7,1165,1165,20260130,260000.0,Khách trả hàng,2026-01-30 08:46:31
8,1218,1218,20260209,4175000.0,Giao sai sản phẩm,2026-02-09 02:26:09
9,1221,1221,20260205,4800000.0,Giao sai sản phẩm,2026-02-05 15:16:32
10,1222,1222,20260207,6240000.0,Khách hủy đơn sau thanh toán,2026-02-07 18:24:40
11,1224,1224,20260208,1680000.0,Khách hủy đơn sau thanh toán,2026-02-08 02:27:03
12,1234,1234,20260209,918000.0,Giao hàng thất bại,2026-02-09 13:26:10
13,1240,1240,20260208,635000.0,Giao sai sản phẩm,2026-02-08 14:38:48
14,1243,1243,20260212,1183500.0,Khách hủy đơn sau thanh toán,2026-02-12 22:42:07
15,1265,1265,20260212,4711500.0,Khách trả hàng,2026-02-12 11:58:51
16,1272,1272,20260217,1540000.0,Giao sai sản phẩm,2026-02-17 05:23:47
17,1293,1293,20260217,625000.0,Khách hủy đơn sau thanh toán,2026-02-17 06:21:02
18,1325,1325,20260223,2090000.0,Sản phẩm bị lỗi,2026-02-23 19:21:35
19,1333,1333,20260225,3033000.0,Giao hàng thất bại,2026-02-25 09:58:24
20,1334,1334,20260221,770000.0,Khách trả hàng,2026-02-21 12:42:32
21,1364,1364,20260228,2290000.0,Sản phẩm bị lỗi,2026-02-28 20:17:29
22,1403,1403,20260304,26360000.0,Khách hủy đơn sau thanh toán,2026-03-04 11:52:56
23,1405,1405,20260306,1170000.0,Giao sai sản phẩm,2026-03-06 17:51:51
24,1409,1409,20260306,7490000.0,Giao hàng thất bại,2026-03-06 00:52:21
25,1415,1415,20260308,4900000.0,Giao hàng thất bại,2026-03-08 20:01:28
26,1429,1429,20260311,1690000.0,Giao hàng thất bại,2026-03-11 22:13:28
27,1448,1448,20260311,9960000.0,Khách trả hàng,2026-03-11 03:57:22
28,1488,1488,20260317,3573000.0,Khách hủy đơn sau thanh toán,2026-03-17 06:53:37
29,1489,1489,20260320,750000.0,Giao sai sản phẩm,2026-03-20 11:15:36
30,1515,1515,20260322,1413000.0,Sản phẩm bị lỗi,2026-03-22 00:03:43
31,1524,1524,20260327,2545000.0,Giao sai sản phẩm,2026-03-27 22:17:16
32,1529,1529,20260328,360000.0,Khách hủy đơn sau thanh toán,2026-03-28 16:46:49
33,1561,1561,20260403,3163500.0,Sản phẩm bị lỗi,2026-04-03 13:28:39
34,1570,1570,20260331,4840000.0,Giao sai sản phẩm,2026-03-31 07:28:55
35,1586,1586,20260403,3780000.0,Khách hủy đơn sau thanh toán,2026-04-03 22:58:56
36,1635,1635,20260415,890000.0,Giao sai sản phẩm,2026-04-15 06:42:46
37,1640,1640,20260412,1323000.0,Giao hàng thất bại,2026-04-12 23:43:36
38,1676,1676,20260419,4112500.0,Giao hàng thất bại,2026-04-19 18:01:53
39,1698,1698,20260422,5000000.0,Khách trả hàng,2026-04-22 19:33:14
40,1720,1720,20260426,1765000.0,Giao hàng thất bại,2026-04-26 23:36:36
41,1741,1741,20260429,6210000.0,Giao hàng thất bại,2026-04-29 15:34:12
42,1778,1778,20260506,13470000.0,Sản phẩm bị lỗi,2026-05-06 10:50:26
43,1803,1803,20260507,1650000.0,Sản phẩm bị lỗi,2026-05-07 14:22:43
44,1808,1808,20260510,2160000.0,Giao sai sản phẩm,2026-05-10 16:36:19
45,1842,1842,20260512,6770000.0,Khách trả hàng,2026-05-12 05:40:45
46,1860,1860,20260515,1090000.0,Khách trả hàng,2026-05-15 13:22:34
47,1883,1883,20260519,9110000.0,Khách hủy đơn sau thanh toán,2026-05-19 23:36:40
48,1895,1895,20260520,9350000.0,Khách trả hàng,2026-05-20 20:31:43
49,1899,1899,20260522,1602000.0,Khách hủy đơn sau thanh toán,2026-05-22 03:15:56
50,1931,1931,20260526,1512000.0,Giao hàng thất bại,2026-05-26 23:00:44
51,1973,1973,20260602,1980000.0,Khách hủy đơn sau thanh toán,2026-06-02 13:44:19
52,1977,1977,20260601,2595000.0,Sản phẩm bị lỗi,2026-06-01 09:03:48
53,1987,1987,20260606,1780000.0,Giao hàng thất bại,2026-06-06 08:09:30
